channel_name,subscribers,final_score,avg_views,engagement_rate,relevance_score,combined_score,sample_titles
Ahrefs,664000,10.0,6978,2.946,1.2,5.6,Guess these Superheroes in Google AI Search - Win $100 [ai search] | Guess which American Car Brand is the Most Popular in AI Search - Win $100 [ai search] | Rank the Most Popular Restaurants in Google AI Search [ai search]
Nathan Gotch,126000,7.51,3371,3.428,2.7,5.11,This is the #1 AI SEO ranking factor (for 2026) [ai seo] | Important Change to SEO (New Google Algorithm Update) [ai search] | Local SEO &amp; AI Search Masterclass for 2026 [ai search]
Neil Patel,1570000,10.0,3689,3.497,0.0,5.0,
Julia McCoy,285000,10.0,16537,4.106,0.0,5.0,
Julian Goldie SEO,376000,10.0,1978,2.841,0.0,5.0,
Nico | AI Ranking,35400,7.94,2229,2.768,1.5,4.72,"How to make a WordPress Website in 2026 (SEO Optimised Claude Code, Stitch &amp; Nano Banana Pro 2) [ai search] | I Kept Switching AI Tools for SEO Until I Figured This Out [ai search] | How I Build &amp; Sell Animated Sites That Look Stunning &amp; Rank #1 (Claude Code &amp; Google Stitch) [ai search]"
Exposure Ninja,107000,8.84,2156,1.454,0.6,4.72,"Let&#39;s Map Out Your AI Search Strategy [ai search] | If My SEO Traffic Dropped, Here&#39;s Exactly What I&#39;d Do (It&#39;s Easy) [ai search]"
Payton Clark Smith,131000,9.14,2239,3.714,0.0,4.57,
Zubair Trabzada | AI Workshop,126000,9.07,31973,2.535,0.0,4.54,
Vasco's SEO Tips,25600,7.82,790,3.14,1.2,4.51,".hunt1 SEO or GEO or AEO or AI SEO? [ai seo, aeo] | SEO, GEO, AIO, AI SEO? [ai seo] | this is the best AI SEO browser extension [ai seo]"
Caleb Ulku,38000,7.97,18307,2.68,0.6,4.29,How To Rank #1 In 24 HOURS [ai seo] | They Lied To You About SEO [ai seo]
Edward Sturm,57000,8.21,4383,3.382,0.3,4.26,"Google Discover’s New Rules, March Core Update Fallout &amp; AI Content Penalty Risks [ai content]"
Sorla - 超簡單行銷,28800,7.86,2730,1.518,0.3,4.08,輸入一個關鍵字 看Claude 怎麼寫完一篇 SEO 文章 [ai seo]
Kasra Dash,36800,7.96,336,3.541,0.0,3.98,
Search With Sean,30900,7.89,1246,2.208,0.0,3.94,
Scott Redgate,6810,7.59,304,2.125,0.3,3.94,What is GEO (Generative Engine Optimization)? [generative engine]
SEO Dạo,4110,7.55,506,1.571,0.3,3.92,Source Context trong SEO &amp; GEO là gì? Hiểu Đúng Ngữ Cảnh Để Xây Dựng Topical Authority Năm 2026 [topical authority]
Rankknar,46700,7.78,3301,4.192,0.0,3.89,
Tim The SEO Guru,6130,7.58,6095,3.631,0.0,3.79,
AI Innovations With Maria Johnsen ,5360,5.73,1300,7.002,0.3,3.02,Generative Engine Optimization (GEO) Explained [generative engine]
Grace Leung,134000,5.74,141428,3.19,0.0,2.87,
