channel_name,subscribers,search_keyword,video_count_90d,avg_views,avg_likes,engagement_rate,recency_score,consistency_score,engagement_score,sub_score,final_score
Neil Patel,1570000,AI SEO,20,3689,129,3.497,10.0,10.0,10.0,10.0,10.0
James Dooley,1340000,LLM SEO,20,5,0,4.082,10.0,10.0,10.0,10.0,10.0
Ahrefs,664000,AI SEO,20,6978,206,2.946,10.0,10.0,10.0,10.0,10.0
Julian Goldie SEO,376000,AI SEO,20,1978,56,2.841,10.0,10.0,10.0,10.0,10.0
Julia McCoy,285000,AI search optimization,20,16537,679,4.106,10.0,10.0,10.0,10.0,10.0
Payton Clark Smith,131000,AI SEO,20,2239,83,3.714,10.0,10.0,10.0,6.55,9.14
Zubair Trabzada | AI Workshop,126000,GEO SEO generative engine optimization,20,31973,811,2.535,10.0,10.0,10.0,6.3,9.07
Exposure Ninja,107000,AI search optimization,20,2156,31,1.454,10.0,10.0,10.0,5.35,8.84
Edward Sturm,57000,LLM SEO,20,4383,148,3.382,10.0,10.0,10.0,2.85,8.21
Caleb Ulku,38000,AI SEO,20,18307,491,2.68,10.0,10.0,10.0,1.9,7.97
Kasra Dash,36800,LLM SEO,20,336,12,3.541,10.0,10.0,10.0,1.84,7.96
Nico | AI Ranking,35400,GEO SEO generative engine optimization,20,2229,62,2.768,10.0,10.0,10.0,1.77,7.94
George Vlasyev,33100,GEO SEO generative engine optimization,20,118,2,1.31,10.0,10.0,10.0,1.66,7.91
Search With Sean,30900,LLM SEO,20,1246,28,2.208,10.0,10.0,10.0,1.54,7.89
Sorla - 超簡單行銷,28800,AI SEO,20,2730,41,1.518,10.0,10.0,10.0,1.44,7.86
Vasco's SEO Tips,25600,LLM SEO,20,790,25,3.14,10.0,10.0,10.0,1.28,7.82
Rankknar,46700,LLM SEO,17,3301,138,4.192,8.5,10.0,10.0,2.33,7.78
Scott Redgate,6810,GEO SEO generative engine optimization,20,304,6,2.125,10.0,10.0,10.0,0.34,7.59
Tim The SEO Guru,6130,AI SEO,20,6095,221,3.631,10.0,10.0,10.0,0.31,7.58
SEO Dạo,4110,LLM SEO,20,506,8,1.571,10.0,10.0,10.0,0.21,7.55
Nathan Gotch,126000,AI SEO,11,3371,116,3.428,5.5,7.33,10.0,6.3,7.51
Waltz Chen,117,GEO SEO generative engine optimization,20,36,0,0.825,10.0,10.0,10.0,0.01,7.5
Lorraine Pawell - SEO & Content Strategy Services,29,GEO SEO generative engine optimization,11,44,5,12.27,5.5,7.33,10.0,0.0,5.93
Grace Leung,134000,AI search optimization,4,141428,4512,3.19,2.0,2.67,10.0,6.7,5.74
AI Innovations With Maria Johnsen ,5360,GEO SEO generative engine optimization,10,1300,91,7.002,5.0,6.67,10.0,0.27,5.73
SeoGri,4,GEO SEO generative engine optimization,9,12,0,1.923,4.5,6.0,10.0,0.0,5.4
Lawrence Dauchy ~ GEO Expert,36300,GEO SEO generative engine optimization,20,3,0,0.0,10.0,10.0,0.0,1.81,4.95
Lawrence Dauchy ~ AI Visibility,14700,GEO SEO generative engine optimization,20,3,0,0.0,10.0,10.0,0.0,0.73,4.68
Flow Agency,386,LLM SEO,2,60,4,5.882,1.0,1.33,10.0,0.02,3.54
StrategeMarketing,282000,GEO SEO generative engine optimization,0,0,0,0.0,0.0,0.0,,,0.0
Saket Wahi,2880,LLM SEO,0,0,0,0.0,0.0,0.0,,,0.0
